7,7,16,8,4
1,1,1,1,2
45,6,11,2,14
7,8,9,8,5
18,17,1,18,3
16,14,5,17,4
2,2,15,2,1
2,33,6,2,33
44,44,44,47,48
1,43,1,1,1
5,5,1,5,2
4,4,18,4,3
1,5,7,5,7
18,16,14,18,16
3,39,8,5,4
21,20,1,23,6
41,43,1,44,3
26,24,27,21,20
47,47,47,48,46
27,22,3,33,5
36,34,6,33,21
50,50,50,50,49
48,48,45,35,45
1,2,1,2,2
1,1,1,2,1
2,2,4,2,2
4,13,15,11,11
10,2,7,8,5
20,3,1,16,9
11,11,13,12,12
7,8,2,15,9
4,2,2,4,2
4,4,1,8,1
9,9,10,14,6
42,42,45,5,44
1,1,3,9,9
2,2,1,19,17
10,13,15,11,11
15,15,15,15,5
6,1,3,4,5
16,1,2,7,4
6,6,10,7,7
15,15,4,17,2
4,2,9,3,2
9,1,6,4,2
4,4,9,4,5
11,10,12,10,8
7,8,2,11,4
2,2,2,2,3
44,44,40,47,33
