5,5,4,5,6
1,1,1,1,1
1,1,4,1,1
4,4,3,4,4
12,12,2,12,2
7,7,5,7,8
2,2,2,1,1
18,33,1,1,33
1,1,1,1,1
2,2,2,2,2
8,7,9,8,10
8,14,7,8,5
13,9,7,9,5
20,20,19,20,19
12,12,11,12,12
31,30,1,32,29
27,23,1,27,17
31,31,32,32,32
15,14,15,15,15
27,27,14,27,25
27,29,17,28,29
50,50,50,50,50
13,16,5,14,3
1,1,1,1,8
1,3,1,1,8
3,3,3,3,3
12,12,15,12,13
9,2,1,10,33
9,3,1,9,35
40,40,39,40,40
4,4,6,4,4
2,1,1,2,3
1,1,1,1,1
14,14,13,14,14
18,18,20,18,19
28,30,39,17,22
32,7,46,28,28
47,47,47,47,47
8,9,12,8,5
3,1,3,5,9
5,1,2,6,22
22,22,21,22,22
1,1,1,3,1
1,1,4,1,4
2,1,4,2,4
9,9,7,9,10
21,21,20,21,21
36,36,32,36,35
32,33,28,32,28
7,6,10,6,6
