28,28,37,28,23
44,44,6,47,56
117,114,33,115,69
319,319,323,319,319
276,271,288,272,282
13,13,2,13,11
421,421,421,421,421
142,144,167,146,133
123,117,96,122,94
45,48,27,47,36
24,27,47,24,39
28,27,30,28,21
46,57,44,47,39
376,378,375,380,373
242,243,255,242,242
20,20,1,20,5
384,387,387,384,384
150,152,163,153,149
94,94,112,95,82
191,190,175,191,188
32,34,105,32,59
307,307,307,307,307
474,470,471,467,476
61,64,1,70,70
259,254,119,259,230
31,23,13,31,17
331,314,177,335,315
167,153,10,168,129
84,71,1,83,56
42,42,18,43,40
57,88,25,64,26
177,165,33,177,126
70,63,6,62,56
16,355,16,16,355
48,44,431,44,354
1,1,3,1,4
449,352,62,62,352
28,28,454,28,351
6,6,22,6,350
416,416,414,416,416
16,19,17,16,14
347,347,347,347,347
469,472,468,473,477
9,5,5,11,23
67,57,3,65,69
10,10,1,10,10
120,42,3,117,132
32,27,11,32,21
11,5,16,11,13
52,52,38,52,43
73,74,78,73,60
73,71,1,74,81
125,123,29,131,90
18,335,18,18,335
179,176,183,177,334
30,31,9,30,28
311,332,188,188,332
143,146,356,146,301
65,65,83,65,329
328,328,324,328,327
23,24,24,24,19
19,25,61,19,34
39,35,49,38,39
17,265,17,17,265
133,135,345,135,135
6,4,13,6,3
158,262,158,146,262
103,107,361,107,261
58,56,428,56,260
323,323,320,323,322
136,168,252,136,155
424,257,415,424,424
477,479,2,480,256
18,18,15,19,17
379,378,374,379,379
54,52,40,53,42
431,429,428,430,431
187,184,153,187,185
23,22,6,23,35
60,57,2,67,64
158,160,188,159,168
106,109,126,106,105
64,76,60,78,112
96,97,139,94,81
100,88,60,87,43
480,479,479,472,469
1,1,15,1,1
448,1,4,1,254
446,446,440,446,447
46,421,417,389,388
117,55,2,119,146
70,60,5,64,61
455,296,270,436,436
434,447,456,447,295
317,264,240,263,294
356,359,350,233,227
52,34,25,32,34
37,186,374,74,75
431,429,427,429,431
378,379,374,378,379
9,9,9,9,9
3,3,3,2,4
75,75,60,77,71
113,71,12,111,29
152,148,36,153,127
423,283,138,411,283
82,76,55,82,60
177,177,130,177,174
54,54,12,56,34
468,279,474,479,467
210,207,147,206,264
9,11,1,9,75
1,9,3,6,37
12,12,12,12,13
253,257,2,256,258
87,56,3,95,204
38,7,8,70,156
187,188,148,189,185
92,95,91,92,77
30,32,8,31,31
2,11,39,2,11
19,34,30,22,15
361,29,25,360,336
64,56,142,175,184
32,52,158,153,153
375,375,372,375,377
188,188,8,188,189
38,7,22,43,107
18,2,5,22,55
31,28,3,30,24
125,141,23,132,142
12,3,43,16,30
13,3,9,12,25
25,25,37,24,38
22,22,2,22,11
115,118,36,118,72
225,226,226,226,226
132,128,117,131,129
74,75,62,76,71
112,99,12,110,36
46,45,2,46,43
184,107,34,186,196
2,4,2,10,2
4,5,4,3,5
